Keyword,User,Tweet,Language,Time,User Location,Hashtag,Polarity,Likes,Retweet,Sentiment
อนิเมะแนะนำ,hellokiyoomi,RT Maychanv ใครสนใจอนิเมะที่แข็งแกร่งที่สุดในปฐพีเราแนะนำ มอริอาร์ตี้ผู้ชัชชาติ ค่ะ,th,2022-04-20,meow tobio chan ◡̈,[],positive,0.0,662.0,66.67
อนิเมะแนะนำ,3mars1ck,RT hntmeow มีคนถามหาอนิเมะที่เกี่ยวกับชุดว่ายน้ำเราเลยแนะนำวันพีช,th,2022-04-20,"༄ @̶͢personnal acc
⠀
⠀⠀⠀◉ feel free for block or mute ⚰️࿐
⠀⠀⠀⠀⠀◉ fvnking rude , toxic  ✧⃘̶̥̇🕸 𓈒

𓈒ྐ❤︎𓈒  &͢nsfw⠀18 up ྐ💀",[],,0.0,1234.0,0.0
อนิเมะแนะนำ,supamas_kpr,แนะนำ สาวสวยน่ารักจากอนิเมะผู้กล้าโล่ผงาด อนิเมะสุดมันส์ที่ไม่ควรพลาดชม ใครชอบใครทำความรู้จักกันได้ที่ ส่วนเราชอบ ราฟทาเลีย กับ กลาส น่ารักกกก ผู้กล้าโล่ผงาด อนิเมะ แนะนําอนิเมะ RAPHTALIA filo,th,2022-04-20,Thailand,"['ผ', 'อน', 'แนะน', 'RAPHTALIA', 'filo']",positive,2.0,0.0,99.98
อนิเมะแนะนำ,poirexjtn,kasibook ถ้าเป็นอนิเมะแนะนำ My hero academia Bungo Stray dog ค้าบ ถ้าเป็นซีรี่ส์ตอนนี้เราติด Criminal minds ไม่รู้ว่ากะสิจะชอบไหม แต่เราว่าสนุกนะะ,th,2022-04-20,"ʟᴏᴛ ᴏꜰ ʀᴇᴛᴡᴇᴇᴛ — ᴘʟꜱ ꜰᴇᴇʟ ꜰʀᴇᴇ ᴛᴏ ᴜɴꜰᴏʟʟᴏᴡ

( 𝒪𝓃𝒸𝑒 𝓅𝑜𝓁𝒸𝒶, 𝒶𝓁𝓌𝒶𝓎𝓈 𝓅𝑜𝓁𝒸𝒶 💙)
( 𝒥𝒾𝓂𝓂𝓎𝒿𝓅’𝓈 “𝒯𝒾𝓃𝓎” 💜🥑 )",[],positive,0.0,0.0,85.71
อนิเมะแนะนำ,cherldd,RT Maychanv ใครสนใจอนิเมะที่แข็งแกร่งที่สุดในปฐพีเราแนะนำ มอริอาร์ตี้ผู้ชัชชาติ ค่ะ,th,2022-04-20,เมียหลวงของคิมแทฮยอง,[],positive,0.0,663.0,66.67
อนิเมะแนะนำ,aslylover,RT Maychanv ใครสนใจอนิเมะที่แข็งแกร่งที่สุดในปฐพีเราแนะนำ มอริอาร์ตี้ผู้ชัชชาติ ค่ะ,th,2022-04-20,everysummertime,[],positive,0.0,663.0,66.67
อนิเมะแนะนำ,supamas_kpr,แนะนำ สาวสวยน่ารักจากอนิเมะผู้กล้าโล่ผงาด อนิเมะสุดมันส์ที่ไม่ควรพลาดชม ใครชอบใครทำความรู้จักกันได้ที่ ส่วนเราชอบ ราฟทาเลีย กับ กลาส น่ารักกกก ผู้กล้าโล่ผงาด อนิเมะ แนะนําอนิเมะ RAPHTALIA filo,th,2022-04-20,Thailand,"['ผ', 'อน', 'แนะน', 'RAPHTALIA', 'filo']",positive,3.0,0.0,99.98
อนิเมะแนะนำ,3mars1ck,RT hntmeow มีคนถามหาอนิเมะที่เกี่ยวกับชุดว่ายน้ำเราเลยแนะนำวันพีช,th,2022-04-20,"༄ @̶͢personnal acc
⠀
⠀⠀⠀◉ feel free for block or mute ⚰️࿐
⠀⠀⠀⠀⠀◉ fvnking rude , toxic  ✧⃘̶̥̇🕸 𓈒

𓈒ྐ❤︎𓈒  &͢nsfw⠀18 up ྐ💀",[],,0.0,1236.0,0.0
อนิเมะแนะนำ,nami_smallcloud,คือ ไปขายอนิเมะเรื่องนึงให้เพื่อนมา แต่อย่ามาถามว่าเกี่ยวกับอะไรนะ เราอธิบายออกมาไม่ได้ จะว่าไม่เข้าใจเนื้อเรื่องก็ไม่เชิง แต่จะว่าเข้าใจหมดก็ไม่ใช่แล้วเพื่อนบอกนึกถึงมีมคนที่ดูแล้วไม่เข้าใจว่าเกี่ยวกับอะไร แต่ก็แนะนำ คือ,th,2022-04-20,,[],negative,0.0,0.0,81.82
อนิเมะแนะนำ,Chanthi03734099,RT feeongzua ทุกคนไหนๆไฮคิวจบแล้ว ไททันใกล้จบ ขอแนะนำ black clover สุดจะโชเน็นจ๋าๆ ใครแบบสายวันพีซ ไยบะ นารูโตะ MHA น่าจะชอบอยู่นะTT แต่,th,2022-04-20,,[],neutral,0.0,57.0,0.0
