Date,Keyword,Word Count,Ref,Link,Title,Data,Sentiment,Lang,Ref Link
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Shiba Hiroshi Steel Jeeg - BE@RBRICKSteel Jeeg was one of the earliest mecha toy and anime tie-in series. While short-lived, the series proved popular in Japan as well as overseas in Europe. The story's protagonist, Hiroshi Shiba not only pilots the titular robot but becomes physically a part of it. He retains ...Last updated at, 26 Mar 2021",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Shiba Hiroshi Steel Jeeg - BE@RBRICKSteel Jeeg was one of the earliest mecha toy and anime tie-in series. While short-lived, the series proved popular in Japan as well as overseas in Europe. The story's protagonist, Hiroshi Shiba not only pilots the titular robot but becomes physically a part of it. He retains ...Last updated at, 26 Mar 2021",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Steel Jeeg was one of the earliest mecha toy and anime tie-in series. While short-lived, the series proved popular in Japan as well as overseas in Europe. The story's protagonist, Hiroshi Shiba not only pilots the titular robot but becomes physically a part of it. He retains ...",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Astro Boy Super Alloy - BE@RBRICKOsamu Tezuka's Astro Boy is one of the most recognizable manga and anime characters in the world. The series brought Japanese animation overseas for the first time and brought Tezuka's career to the next level. Medicom Toy recreates the world-famous robot boy in the &quot...Last updated at, 26 Mar 2021",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Astro Boy Super Alloy - BE@RBRICKOsamu Tezuka's Astro Boy is one of the most recognizable manga and anime characters in the world. The series brought Japanese animation overseas for the first time and brought Tezuka's career to the next level. Medicom Toy recreates the world-famous robot boy in the &quot...Last updated at, 26 Mar 2021",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,Osamu Tezuka's Astro Boy is one of the most recognizable manga and anime characters in the world. The series brought Japanese animation overseas for the first time and brought Tezuka's career to the next level. Medicom Toy recreates the world-famous robot boy in the &quot...,positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Kano - VTuberKano boasts a fruitful career as an utaite spanning over a decade. In addition to covers, Kano frequently performs anime theme songs and original compositions. She decided to make the transition to VTuber in 2020, expanding her reach as a musician.  Last updated at, 07 May 2021",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Kano - VTuberKano boasts a fruitful career as an utaite spanning over a decade. In addition to covers, Kano frequently performs anime theme songs and original compositions. She decided to make the transition to VTuber in 2020, expanding her reach as a musician.  Last updated at, 07 May 2021",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Kano boasts a fruitful career as an utaite spanning over a decade. In addition to covers, Kano frequently performs anime theme songs and original compositions. She decided to make the transition to VTuber in 2020, expanding her reach as a musician.  ",positive,,{}
04-04-2022,anime,1,0,https://otakumode.com/otapedia,Otapedia | Tokyo Otaku Mode (TOM) Shop: Figures & Merch From Japan,"Ironmouse - VTuberIronmouse is a popular English language VTuber with a long history in the streaming community. Prior to becoming a VTuber, Ironmouse streamed on Twitch with an anime avatar and made a name for herself with her unique vocal talents. Fans love her wild antics, genuine kindness, and...Last updated at, 07 May 2021",positive,,{}
